id,audit_status,source_type,scope_check,date_check,status_check,link_check,audit_note
usa-eun-ttc-2021,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
usa-mys-2022,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
eun-jpn-2022,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
eun-kor-2022,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
usa-ind-2023,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Status raised from signed to implementation because later institutional activity is documented.
gbr-jpn-2023,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Status raised from signed to operational because subsequent dialogue and activity are documented.
north-america-2023,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
jpn-are-2023,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
ind-jpn-2023,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Status raised from signed to implementation.
eun-ind-2023,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Status raised from signed to implementation under the TTC work program.
gbr-kor-2023,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Status raised from signed to implementation.
nld-kor-2023,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Status raised from signed to operational based on subsequent bilateral activity.
ipef-2024,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
usa-jpn-jucip-2024,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
ind-sgp-2024,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
can-gbr-2025,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Status raised from signed to implementation.
ind-nld-2025,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Corrected from a May 2026 date to the December 2025 partnership date; ID and year revised.
pax-silica-2025,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
isr-chips-ju-2026,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Reclassified from funded project to open call; funding availability does not demonstrate an award.
can-deu-2026,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,Corrected agreement date from 30 June to 29 June 2026.
aciti-2026,reviewed,official government or public institution,pass,pass,pass,Official URL recorded; automated reachability not used as a substantive validation test,No substantive correction recorded in the 4.1 audit.
