id,date,year,title,participants,participant_ids,map_pairs,type,scope,stages,status,implementation,funding,detail,source_url,last_verified
usa-eun-ttc-2021,2021-09-29,2021,U.S.–EU Trade and Technology Council semiconductor partnership,United States; European Union,usa;eun,usa-eun,resilience,semiconductor-specific,supply_chain;design;fabrication,operational,"TTC working groups established cooperation on semiconductor supply-chain transparency, capacity mapping, and policy coordination.",Not specified,"A transatlantic framework for semiconductor supply security, transparency, design, and production capacity.",https://www.commerce.gov/news/press-releases/2021/09/us-eu-trade-and-technology-council-inaugural-joint-statement,2026-07-31
usa-mys-2022,2022-05-10,2022,U.S.–Malaysia Memorandum of Cooperation on Semiconductor Supply Chain Resilience,United States; Malaysia,usa;mys,usa-mys,resilience,semiconductor-specific,supply_chain;packaging,signed,"The memorandum established government and industry exchanges on transparency, trust, investment, security, and sustainability.",Not specified,Bilateral cooperation on semiconductor supply-chain resilience and sustainable growth.,https://www.commerce.gov/news/press-releases/2022/05/joint-press-release-us-department-commerce-and-malaysian-ministry,2026-07-31
eun-kor-2022,2022-11-28,2022,EU–Republic of Korea Digital Partnership,European Union; South Korea,eun;kor,eun-kor,research,broader-framework,research;design;supply_chain,operational,"The partnership created continuing work on semiconductors alongside quantum, high-performance computing, cybersecurity, AI, data, and skills.",Not specified,A broad digital partnership with an explicit semiconductor cooperation component.,https://digital-strategy.ec.europa.eu/en/library/republic-korea-european-union-digital-partnership,2026-07-31
eun-jpn-2022,2022-05-12,2022,EU–Japan Digital Partnership,European Union; Japan,eun;jpn,eun-jpn,research,broader-framework,research;supply_chain;design,operational,"Digital Partnership Councils and policy dialogues continued through 2026, including semiconductor policy exchanges.",Not specified,A broad digital partnership with continuing work on semiconductors and related technologies.,https://digital-strategy.ec.europa.eu/en/policies/partnerships,2026-07-31
nld-kor-2023,2023-12-13,2023,Netherlands–Republic of Korea Semiconductor Alliance,Netherlands; South Korea,nld;kor,nld-kor,ecosystem,semiconductor-specific,equipment;workforce;research,signed,"The joint statement provides for a bilateral dialogue, business and university cooperation, and a talent program.",Not specified,"Government, business, university, and workforce cooperation in the semiconductor sector.",https://www.government.nl/documents/2023/12/13/joint-statement-between-the-government-of-the-republic-of-korea-and-the-government-of-the-kingdom-of-the-netherlands,2026-07-31
gbr-jpn-2023,2023-05-19,2023,UK–Japan Semiconductors Partnership,United Kingdom; Japan,gbr;jpn,gbr-jpn,research,semiconductor-specific,design;fabrication;packaging;materials;workforce,signed,"The partners committed to joint R&D, infrastructure access, skills exchanges, an industry dialogue, and supply-chain cooperation.",Not specified,"Joint research, skills, infrastructure access, industry dialogue, and supply-chain resilience.",https://www.meti.go.jp/english/press/2023/0519_002.html,2026-07-31
gbr-kor-2023,2023-11-22,2023,UK–Republic of Korea Framework for Semiconductor Cooperation,United Kingdom; South Korea,gbr;kor,gbr-kor,research,semiconductor-specific,research;workforce;supply_chain,signed,"The framework covers collaborative R&D, skills, industry links, and bilateral and multilateral supply-chain cooperation.",Not specified,"A bilateral framework for R&D, skills, industry links, and supply-chain cooperation.",https://www.gov.uk/government/publications/uk-republic-of-korea-framework-for-semiconductor-cooperation-joint-statement/uk-republic-of-korea-framework-for-semiconductor-cooperation-joint-statement,2026-07-31
ind-jpn-2023,2023-07-20,2023,Japan–India Semiconductor Supply Chain Partnership,India; Japan,ind;jpn,ind-jpn,resilience,semiconductor-specific,supply_chain;equipment;materials,signed,The partnership established a policy framework for resilient supply chains and business cooperation.,Not specified,A policy framework for supply-chain resilience and private-sector cooperation.,https://www.meti.go.jp/english/press/2023/0721_002.html,2026-07-31
usa-ind-2023,2023-03-10,2023,U.S.–India Semiconductor Supply Chain and Innovation Partnership,United States; India,usa;ind,usa-ind,ecosystem,semiconductor-specific,supply_chain;research;workforce;design,signed,"The memorandum created a mechanism for supply-chain resiliency, incentive-program coordination, commercial opportunities, R&D, and skills.",Not specified,"A semiconductor-specific memorandum covering resiliency, innovation, commercial opportunities, and talent.",https://www.commerce.gov/news/press-releases/2023/03/statement-us-secretary-commerce-gina-raimondo-us-india-memorandum,2026-07-31
eun-ind-2023,2023-11-21,2023,EU–India Memorandum of Understanding on Semiconductor Ecosystems,European Union; India,eun;ind,eun-ind,ecosystem,semiconductor-specific,supply_chain;research;design,signed,"The memorandum provides working arrangements on semiconductor ecosystems, supply chains, and innovation under the EU–India TTC.",Not specified,"Government-to-government and business cooperation on semiconductor ecosystems, supply chains, and innovation.",https://digital-strategy.ec.europa.eu/en/library/memorandum-understanding-semiconductors-india,2026-07-31
